seed,fold,feature_set,model,balanced_accuracy,f1,roc_auc,average_precision,precision,recall
0,0,multimodal,svm_rbf,0.7,0.8888888888888888,0.8500000000000001,0.9390313390313391,0.8,1.0
0,1,multimodal,svm_rbf,0.9166666666666667,0.9090909090909091,0.9333333333333333,0.9752747252747253,1.0,0.8333333333333334
0,2,multimodal,svm_rbf,0.675,0.782608695652174,0.8666666666666667,0.9462343212343213,0.8181818181818182,0.75
0,3,multimodal,svm_rbf,0.8166666666666667,0.8695652173913043,0.8833333333333333,0.9563131313131313,0.9090909090909091,0.8333333333333334
0,4,multimodal,svm_rbf,0.8257575757575758,0.8571428571428571,0.8181818181818181,0.8960844710844712,0.9,0.8181818181818182
1,0,multimodal,svm_rbf,0.8166666666666667,0.8695652173913043,0.9166666666666666,0.9688131313131313,0.9090909090909091,0.8333333333333334
1,1,multimodal,svm_rbf,0.775,0.8181818181818182,0.9,0.9629370629370629,0.9,0.75
1,2,multimodal,svm_rbf,0.8166666666666667,0.8695652173913043,0.9666666666666668,0.9866452991452991,0.9090909090909091,0.8333333333333334
1,3,multimodal,svm_rbf,0.8166666666666667,0.8695652173913043,0.8833333333333334,0.9587703962703963,0.9090909090909091,0.8333333333333334
1,4,multimodal,svm_rbf,0.75,0.88,0.7727272727272727,0.8757020757020757,0.7857142857142857,1.0
2,0,multimodal,svm_rbf,0.7583333333333333,0.88,0.9166666666666666,0.9705128205128205,0.8461538461538461,0.9166666666666666
2,1,multimodal,svm_rbf,0.6916666666666667,0.7,0.8500000000000001,0.9403078403078403,0.875,0.5833333333333334
2,2,multimodal,svm_rbf,0.9,0.96,0.9333333333333333,0.9707362082362082,0.9230769230769231,1.0
2,3,multimodal,svm_rbf,0.675,0.782608695652174,0.7666666666666666,0.8852554852554851,0.8181818181818182,0.75
2,4,multimodal,svm_rbf,0.9545454545454546,0.9523809523809523,0.9696969696969697,0.9860139860139859,1.0,0.9090909090909091
3,0,multimodal,svm_rbf,0.9166666666666667,0.9090909090909091,1.0,0.9999999999999999,1.0,0.8333333333333334
3,1,multimodal,svm_rbf,0.6583333333333333,0.8461538461538461,0.8166666666666667,0.9248057498057499,0.7857142857142857,0.9166666666666666
3,2,multimodal,svm_rbf,0.6916666666666667,0.7,0.8333333333333334,0.9286146723646724,0.875,0.5833333333333334
3,3,multimodal,svm_rbf,0.8166666666666667,0.8695652173913043,0.9333333333333333,0.9707362082362082,0.9090909090909091,0.8333333333333334
3,4,multimodal,svm_rbf,0.7045454545454546,0.8333333333333334,0.7727272727272727,0.8763989798080708,0.7692307692307693,0.9090909090909091
4,0,multimodal,svm_rbf,0.675,0.782608695652174,0.7166666666666667,0.8701150701150702,0.8181818181818182,0.75
4,1,multimodal,svm_rbf,0.875,0.8571428571428571,0.9333333333333333,0.973575036075036,1.0,0.75
4,2,multimodal,svm_rbf,0.9,0.96,0.8666666666666667,0.9252666315166315,0.9230769230769231,1.0
4,3,multimodal,svm_rbf,0.8166666666666667,0.8695652173913043,0.9333333333333333,0.9752747252747253,0.9090909090909091,0.8333333333333334
4,4,multimodal,svm_rbf,0.6590909090909092,0.782608695652174,0.9090909090909092,0.9595404595404595,0.75,0.8181818181818182
42,0,multimodal,svm_rbf,0.7333333333333334,0.7619047619047619,0.8666666666666667,0.9336610149110148,0.8888888888888888,0.6666666666666666
42,1,multimodal,svm_rbf,0.675,0.782608695652174,0.7166666666666667,0.8750270562770563,0.8181818181818182,0.75
42,2,multimodal,svm_rbf,0.9166666666666667,0.9090909090909091,1.0,0.9999999999999999,1.0,0.8333333333333334
42,3,multimodal,svm_rbf,0.9,0.96,0.9500000000000001,0.9790695415695415,0.9230769230769231,1.0
42,4,multimodal,svm_rbf,0.5757575757575758,0.75,0.8636363636363636,0.9406926406926407,0.6923076923076923,0.8181818181818182
123,0,multimodal,svm_rbf,0.8166666666666667,0.8695652173913043,0.9333333333333333,0.9752747252747253,0.9090909090909091,0.8333333333333334
123,1,multimodal,svm_rbf,0.7166666666666667,0.8333333333333334,0.8666666666666667,0.9495670995670996,0.8333333333333334,0.8333333333333334
123,2,multimodal,svm_rbf,0.7166666666666667,0.8333333333333334,0.8,0.8909162596662596,0.8333333333333334,0.8333333333333334
123,3,multimodal,svm_rbf,0.9166666666666667,0.9090909090909091,1.0,0.9999999999999999,1.0,0.8333333333333334
123,4,multimodal,svm_rbf,0.6212121212121212,0.8,0.7727272727272727,0.8717272626363536,0.7142857142857143,0.9090909090909091
2024,0,multimodal,svm_rbf,0.875,0.8571428571428571,0.9,0.9613858363858364,1.0,0.75
2024,1,multimodal,svm_rbf,0.6,0.8571428571428571,0.8333333333333334,0.9230230417730417,0.75,1.0
2024,2,multimodal,svm_rbf,0.7166666666666667,0.8333333333333334,0.8833333333333333,0.9566239316239317,0.8333333333333334,0.8333333333333334
2024,3,multimodal,svm_rbf,0.8333333333333333,0.8,0.9666666666666667,0.988095238095238,1.0,0.6666666666666666
2024,4,multimodal,svm_rbf,0.8257575757575758,0.8571428571428571,0.8939393939393939,0.9461760461760463,0.9,0.8181818181818182
2025,0,multimodal,svm_rbf,0.875,0.8571428571428571,0.9333333333333333,0.9791666666666666,1.0,0.75
2025,1,multimodal,svm_rbf,0.7166666666666667,0.8333333333333334,0.85,0.9414724164724165,0.8333333333333334,0.8333333333333334
2025,2,multimodal,svm_rbf,0.8,0.9230769230769231,0.8333333333333334,0.9295676545676547,0.8571428571428571,1.0
2025,3,multimodal,svm_rbf,0.775,0.8181818181818182,0.8833333333333333,0.9566239316239317,0.9,0.75
2025,4,multimodal,svm_rbf,0.7878787878787878,0.8695652173913043,0.8636363636363635,0.9372474747474748,0.8333333333333334,0.9090909090909091
2026,0,multimodal,svm_rbf,0.9583333333333333,0.9565217391304348,0.9333333333333333,0.9791666666666666,1.0,0.9166666666666666
2026,1,multimodal,svm_rbf,0.475,0.72,0.65,0.8692994505494506,0.6923076923076923,0.75
2026,2,multimodal,svm_rbf,0.7583333333333333,0.88,0.8,0.8924674862174863,0.8461538461538461,0.9166666666666666
2026,3,multimodal,svm_rbf,0.9583333333333333,0.9565217391304348,1.0,0.9999999999999999,1.0,0.9166666666666666
2026,4,multimodal,svm_rbf,0.8181818181818181,0.7777777777777778,1.0,1.0,1.0,0.6363636363636364
