feature,coefficient,abs_coefficient
video_low_movement_track_ratio,1.517259936464894,1.517259936464894
video_key,-1.3333234927013886,1.3333234927013886
video_progressive_like_ratio,0.6855987907717734,0.6855987907717734
video_mean_duration_s,0.5331952127847472,0.5331952127847472
video_speed_std_px_s,0.5246032222789166,0.5246032222789166
video_fast_track_ratio,0.4779389590674522,0.4779389590674522
video_mean_area_norm,0.4759789452748795,0.4759789452748795
video_mean_speed_px_s,-0.4594274309866109,0.4594274309866109
video_p90_track_frames,0.4450100341963945,0.4450100341963945
video_n_tracks,0.4304552658390463,0.4304552658390463
video_mean_track_frames,0.3791096382931063,0.3791096382931063
video_mean_straightness,-0.3282569956447698,0.3282569956447698
video_median_duration_s,0.2526399235936145,0.2526399235936145
video_median_displacement_px,0.23871854275182175,0.23871854275182175
video_p90_speed_px_s,-0.20256020925343016,0.20256020925343016
video_median_speed_px_s,-0.1683270022128712,0.1683270022128712
video_median_track_frames,0.16695070852830632,0.16695070852830632
video_median_straightness,0.14556151919364563,0.14556151919364563
video_mean_confidence,0.08471412926922658,0.08471412926922658
video_mean_displacement_px,-0.08427070994820429,0.08427070994820429
video_long_track_ratio,0.05202296598221838,0.05202296598221838
video_mean_path_length_px,0.02436250256392372,0.02436250256392372
