feature_set,model,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,precision_mean,precision_std,recall_mean,recall_std
multimodal,svm_rbf,0.7792878787878789,0.10795698496739135,0.8501008585617281,0.065834730686154,0.8787272727272728,0.0797894100489554,0.9459842253705889,0.039432345737326756,0.882003219003219,0.08840711197750299,0.8325757575757576,0.10515393448283361
multimodal,random_forest,0.7267424242424242,0.11547231073867267,0.8424305604218648,0.06265745313778791,0.8602121212121212,0.0929949380727221,0.9379515433937226,0.04517069553994094,0.8371597291597291,0.0898301814525828,0.8601515151515151,0.09988667422828057
video_only,svm_rbf,0.7698181818181818,0.08470249831773834,0.7876476552408173,0.07768921225311463,0.8476666666666667,0.08206929672289293,0.9364213162802736,0.038370425179922875,0.9143524253524253,0.07744125172866322,0.7036363636363636,0.11692960435164007
video_only,logistic_regression,0.7632424242424243,0.09173713795044426,0.7911547146949758,0.06451456360007973,0.8462727272727273,0.08161419519685352,0.9372692252538509,0.03871723301642483,0.9095692363192363,0.08475760255348143,0.7118181818181819,0.10410962906853953
clinical_only,random_forest,0.7061515151515151,0.11797218297165775,0.8435654722089505,0.061741616365111586,0.8141818181818182,0.12920383190658263,0.9037732527301379,0.07545975786353025,0.8182804695304695,0.08579374075983486,0.8836363636363636,0.1037015675130538
multimodal,logistic_regression,0.7347575757575758,0.10636900123370216,0.8109508104659134,0.07513358756610834,0.8138484848484849,0.09423170054740042,0.9211450232526436,0.045879523248339264,0.861536075036075,0.08587477632116165,0.7815151515151516,0.12433515401593222
video_only,random_forest,0.6780454545454546,0.12248935630239949,0.7844531541089261,0.07526003354541905,0.8038181818181818,0.10034620829265135,0.9194507816900865,0.045774240639692904,0.8183180577592343,0.0946846318730903,0.764090909090909,0.10840904283064044
clinical_only,svm_rbf,0.7398787878787878,0.113462633638616,0.8363437861371366,0.06887556371787619,0.7996060606060607,0.1449624515752606,0.8908226188052392,0.09275072093617431,0.8505837495837496,0.08760126596352823,0.8357575757575758,0.11173360603759708
clinical_only,logistic_regression,0.6872878787878789,0.09866774440090055,0.7737165884797464,0.07412567509405704,0.7483636363636363,0.11226437900287513,0.8796471300782798,0.06740516753277034,0.8315068265068265,0.08177698084047252,0.7392424242424243,0.12351031338026403
video_only,gradient_boosting,0.6162727272727273,0.11911098667699553,0.7696757412093796,0.06210742045283443,0.733378787878788,0.1074095253745647,0.8856537440203884,0.056617110678882684,0.7727901265401266,0.08669066839309311,0.7778787878787878,0.09468849683802094
multimodal,gradient_boosting,0.645378787878788,0.11284088197364738,0.7993668867530936,0.06296922254411473,0.7129090909090909,0.13511114483127903,0.8507397215950023,0.07721767326874013,0.7860038719450485,0.08043266984939902,0.8274242424242425,0.10687786987483873
clinical_only,gradient_boosting,0.6383030303030303,0.1028085166079326,0.7890712202451333,0.07197152897583847,0.707090909090909,0.1458384441192976,0.8481527450193894,0.08831702773203359,0.7813530913530914,0.07260350754458779,0.8106060606060607,0.11070746192679153
video_only,mlp_sklearn,0.6486515151515151,0.11748794230481904,0.6959771276857829,0.151015039817983,0.704030303030303,0.12703935446350506,0.8772406975328099,0.0598760783887737,0.8151324231324232,0.11148149756367545,0.6386363636363637,0.20013307027133934
multimodal,mlp_sklearn,0.5717121212121212,0.14242544391524684,0.7193593607003218,0.14339475461408258,0.6488787878787879,0.16652318836843072,0.8455587104764912,0.08134979429518027,0.7321832056832056,0.09741650741841679,0.7240909090909091,0.19682151554699365
clinical_only,mlp_sklearn,0.4838787878787879,0.09194600869237401,0.7441125556103068,0.07019143518067676,0.6284545454545455,0.13472153940781953,0.832483245500291,0.07657962797413596,0.6856313294548589,0.0635167202019464,0.8190909090909091,0.10426341995633276
video_only,dummy_most_frequent,0.5,0.0,0.8192118226600985,0.01691881109102225,0.5,0.0,0.6941176470588236,0.023768295165934376,0.6941176470588236,0.023768295165934376,1.0,0.0
clinical_only,dummy_most_frequent,0.5,0.0,0.8192118226600985,0.01691881109102225,0.5,0.0,0.6941176470588236,0.023768295165934376,0.6941176470588236,0.023768295165934376,1.0,0.0
multimodal,dummy_most_frequent,0.5,0.0,0.8192118226600985,0.01691881109102225,0.5,0.0,0.6941176470588236,0.023768295165934376,0.6941176470588236,0.023768295165934376,1.0,0.0
clinical_only,dummy_stratified,0.46593939393939393,0.11739775271261628,0.6467193675889328,0.07918392534683213,0.46593939393939393,0.11739775271261628,0.6850688705234159,0.05983084080614029,0.6709090909090909,0.08787132376123259,0.6245454545454545,0.0722301864014585
multimodal,dummy_stratified,0.46593939393939393,0.11739775271261628,0.6467193675889328,0.07918392534683213,0.46593939393939393,0.11739775271261628,0.6850688705234159,0.05983084080614029,0.6709090909090909,0.08787132376123259,0.6245454545454545,0.0722301864014585
video_only,dummy_stratified,0.46593939393939393,0.11739775271261628,0.6467193675889328,0.07918392534683213,0.46593939393939393,0.11739775271261628,0.6850688705234159,0.05983084080614029,0.6709090909090909,0.08787132376123259,0.6245454545454545,0.0722301864014585
