seed,fold,model,feature_set,balanced_accuracy,f1,average_precision,precision,recall,roc_auc
0,0,pytorch_multimodal_mlp,multimodal,0.6166666666666667,0.8,0.8754569504569505,0.7692307692307693,0.8333333333333334,0.7333333333333333
0,1,pytorch_multimodal_mlp,multimodal,0.7916666666666667,0.7368421052631579,0.9111488661121014,1.0,0.5833333333333334,0.75
0,2,pytorch_multimodal_mlp,multimodal,0.8166666666666667,0.8695652173913043,0.9546037296037296,0.9090909090909091,0.8333333333333334,0.8833333333333333
0,3,pytorch_multimodal_mlp,multimodal,0.6916666666666667,0.7,0.9396897084397084,0.875,0.5833333333333334,0.8666666666666667
0,4,pytorch_multimodal_mlp,multimodal,0.5984848484848485,0.5,0.8619870028960939,0.8,0.36363636363636365,0.7575757575757576
1,0,pytorch_multimodal_mlp,multimodal,0.7333333333333334,0.7619047619047619,0.9125432437932438,0.8888888888888888,0.6666666666666666,0.8
1,1,pytorch_multimodal_mlp,multimodal,0.65,0.631578947368421,0.9214718152218152,0.8571428571428571,0.5,0.8333333333333334
1,2,pytorch_multimodal_mlp,multimodal,0.7166666666666667,0.8333333333333334,0.9322131572131572,0.8333333333333334,0.8333333333333334,0.8333333333333334
1,3,pytorch_multimodal_mlp,multimodal,0.9166666666666667,0.9090909090909091,0.9705128205128205,1.0,0.8333333333333334,0.9166666666666666
1,4,pytorch_multimodal_mlp,multimodal,0.6136363636363636,0.7272727272727273,0.8936674436674437,0.7272727272727273,0.7272727272727273,0.7878787878787878
2,0,pytorch_multimodal_mlp,multimodal,0.7333333333333334,0.7619047619047619,0.9286528286528287,0.8888888888888888,0.6666666666666666,0.8166666666666667
2,1,pytorch_multimodal_mlp,multimodal,0.6916666666666667,0.7,0.9265583953083953,0.875,0.5833333333333334,0.8333333333333333
2,2,pytorch_multimodal_mlp,multimodal,0.775,0.8181818181818182,0.9563131313131313,0.9,0.75,0.8833333333333333
2,3,pytorch_multimodal_mlp,multimodal,0.5916666666666667,0.6666666666666666,0.8854538979538981,0.7777777777777778,0.5833333333333334,0.75
2,4,pytorch_multimodal_mlp,multimodal,0.6893939393939394,0.6666666666666666,0.8677557291193655,0.8571428571428571,0.5454545454545454,0.7575757575757576
3,0,pytorch_multimodal_mlp,multimodal,0.7916666666666667,0.7368421052631579,0.9935897435897435,1.0,0.5833333333333334,0.9833333333333334
3,1,pytorch_multimodal_mlp,multimodal,0.575,0.75,0.8591662966662967,0.75,0.75,0.6666666666666667
3,2,pytorch_multimodal_mlp,multimodal,0.6916666666666667,0.7,0.9390313390313391,0.875,0.5833333333333334,0.8500000000000001
3,3,pytorch_multimodal_mlp,multimodal,0.7916666666666667,0.7368421052631579,0.9417239623121977,1.0,0.5833333333333334,0.8333333333333333
3,4,pytorch_multimodal_mlp,multimodal,0.5681818181818181,0.6666666666666666,0.8636792500428864,0.7,0.6363636363636364,0.7575757575757576
4,0,pytorch_multimodal_mlp,multimodal,0.6333333333333333,0.7272727272727273,0.9186447811447812,0.8,0.6666666666666666,0.7833333333333333
4,1,pytorch_multimodal_mlp,multimodal,0.7333333333333334,0.7619047619047619,0.93296073479897,0.8888888888888888,0.6666666666666666,0.8333333333333334
4,2,pytorch_multimodal_mlp,multimodal,0.8,0.9230769230769231,0.9031054593554594,0.8571428571428571,1.0,0.8333333333333333
4,3,pytorch_multimodal_mlp,multimodal,0.65,0.631578947368421,0.9179864117364117,0.8571428571428571,0.5,0.8166666666666667
4,4,pytorch_multimodal_mlp,multimodal,0.7878787878787878,0.8695652173913043,0.9145316804407714,0.8333333333333334,0.9090909090909091,0.8333333333333333
42,0,pytorch_multimodal_mlp,multimodal,0.8166666666666667,0.8695652173913043,0.9220480363862716,0.9090909090909091,0.8333333333333334,0.7999999999999999
42,1,pytorch_multimodal_mlp,multimodal,0.6916666666666667,0.7,0.8215217652717653,0.875,0.5833333333333334,0.7
42,2,pytorch_multimodal_mlp,multimodal,0.9166666666666667,0.9090909090909091,0.9999999999999999,1.0,0.8333333333333334,1.0
42,3,pytorch_multimodal_mlp,multimodal,0.9583333333333333,0.9565217391304348,0.9754901960784313,1.0,0.9166666666666666,0.9166666666666666
42,4,pytorch_multimodal_mlp,multimodal,0.7045454545454546,0.8333333333333334,0.91410713469537,0.7692307692307693,0.9090909090909091,0.8030303030303031
123,0,pytorch_multimodal_mlp,multimodal,0.9583333333333333,0.9565217391304348,0.9833333333333333,1.0,0.9166666666666666,0.95
123,1,pytorch_multimodal_mlp,multimodal,0.6916666666666667,0.7,0.9072513135013135,0.875,0.5833333333333334,0.7666666666666666
123,2,pytorch_multimodal_mlp,multimodal,0.6333333333333333,0.7272727272727273,0.811049136049136,0.8,0.6666666666666666,0.7
123,3,pytorch_multimodal_mlp,multimodal,0.7083333333333334,0.5882352941176471,0.9833333333333333,1.0,0.4166666666666667,0.95
123,4,pytorch_multimodal_mlp,multimodal,0.696969696969697,0.7619047619047619,0.8511904761904762,0.8,0.7272727272727273,0.7424242424242424
2024,0,pytorch_multimodal_mlp,multimodal,0.75,0.6666666666666666,0.91039302473126,1.0,0.5,0.7666666666666667
